categorie_de_produit,sous_categorie_de_produit,risques_encourus_par_le_consommateur,nom_de_la_marque_du_produit,date_debut_fin_de_commercialisation,distributeurs,motif_du_rappel
Alimentation,Céréales et produits de boulangerie,Autres contaminants chimiques,CELNAT,Depuis le 17/02/2021,Magasin spécialisé Bio et magasin chainé Bio,présence d’oxyde d’éthylène à une teneur supérieure à la limite maximale autorisée
Alimentation,Céréales et produits de boulangerie,Autres contaminants chimiques,CELNAT,Depuis le 04/01/2021,Magasin spécialisé Bio et magasin chainé Bio,présence d’oxyde d’éthylène à une teneur supérieure à la limite maximale autorisée
Autres,Divers,Blessures externes,SURF SYSTEM,Du 17/02/2019 au 31/03/2021,"Magasins Decathlon
Magasins de Surf indépendants",PRODUIT NON CONFORME ET DANGEREUX
Automobiles et moyens de déplacement,"Vélos, bicyclettes, vélos à assistance électrique",Blessures externes,LAPIERRE,Du 01/11/2019 au 15/10/2020,Les produits Lapierre Trekking 200 ont pu être vendus directement via le site internet (https://www.lapierrebikes.com) ou bien auprès d'un revendeur Lapierre.,Les équipes LAPIERRE ont constaté que les rondelles des tringles avant et arrière des garde-boues ainsi que la tige de selle n’étaient pas conformes.
Alimentation,Autres,Autres contaminants chimiques,LA CUISINE D'OCEANE,Du 17/03/2021 au 09/03/2022,AUCHAN - SYSTEME U - CORA - CARREFOUR - ITM - E.LECLERC - MONOPRIX -,Présence d'oxyde d'éthylène à une teneur supérieure à la limite maximale autorisée dans le curcuma entrant en quantité très faible dans la composition du produit finis
Maison-Habitat,Matériel de cuisine (sauf électroménager),Dépassement de seuils de sécurité,ZODIO NOOK,Du 01/06/2019 au 25/01/2021,Tous les magasins Zodio France,Les taux de migration de formaldéhyde et de mélamine sont supérieurs aux valeurs réglementaires
Alimentation,Plats préparés et snacks,Autres contaminants chimiques,FRANPRIX,Du 15/03/2021 au 09/04/2021,"FRANPRIX, Marché d'à côté, NANO Boutique",Présence éventuelle d’oxyde d’éthylène avec une teneur supérieure à la réglementation européenne en vigueur.
Alimentation,Plats préparés et snacks,Produits phytosanitaires non autorisés Dépassement des limites autorisées de pesticides,Davert,Du 02/11/2020 au 16/02/2021,Pur Aliment,"Dans le cadre d’une analyse, un résidu de produit phytopharmaceutique a été détecté dans le gingembre utilisé dans les préparations.
La consommation est, donc, impropre et ne répond pas aux normes en vigueur."
Alimentation,Plats préparés et snacks,Autres contaminants chimiques,LEADER PRICE,Du 11/03/2021 au 09/04/2021,"Leader Price et réseaux de distribution de Leader Price
Géant Casino et les enseignes Casino",Présence éventuelle d’oxyde d’éthylène avec une teneur supérieure à la réglementation européenne en vigueur.
Alimentation,Plats préparés et snacks,Autres contaminants chimiques,MONIQUE RANOU,Du 10/03/2021 au 09/04/2021,INTERMARCHE,Présence éventuelle d’oxyde d’éthylène avec une teneur supérieure à la réglementation européenne en vigueur.
Alimentation,Plats préparés et snacks,Autres contaminants chimiques,VEGGIE MARCHE,Du 08/03/2021 au 09/04/2021,INTERMARCHE,Présence éventuelle d’oxyde d’éthylène avec une teneur supérieure à la réglementation européenne en vigueur.
Alimentation,Produits de la pêche et d'aquaculture,Listeria monocytogenes ,Leroy,Du 30/03/2021 au 02/04/2021,"Magasin usine FISHCUT
Magasin usine EUROSALMON
Boucheries André",détection de Listeria monocytogenes
Alimentation,Herbes et épices,Autres contaminants chimiques,MADIA BIO,Du 01/12/2019 au 31/03/2021,"Magasins Bio et détaillants, pharmacies et sites internet",Détection d'oxyde d'éthylène
Alimentation,Herbes et épices,Autres contaminants chimiques,MADIA BIO,Du 01/01/2020 au 31/03/2021,"Magasins BIO et détaillants, pharmacies et sites internet",Présence possible d'oxyde d'éthylène.
Alimentation,Viandes,Salmonella spp ,LEADER PRICE,NA,Leader Price et réseaux de distribution de Leader Price.,Détection de salmonelle.
Alimentation,Autres,Autres contaminants chimiques,LA CUISINE D'OCEANE,Du 11/03/2021 au 01/03/2022,AUCHAN - SYSTEME U - CORA- ITM - E.LECLERC - MONOPRIX -,Présence d'oxyde d'éthylène à une teneur supérieure à la limite maximale autorisée dans le curcuma entrant en quantité très faible dans la composition du produit finis
Alimentation,Céréales et produits de boulangerie,"Inertes (verre, métal, plastique, papier, textile…)",sans marque,Du 01/04/2021 au 01/04/2021,Magasin cora à Dorlisheim,Présence éventuelle de morceaux de verre
Alimentation,Viandes,Listeria monocytogenes ,CABROL LA SALVETAT,Du 30/03/2021 au 12/04/2021,"Montpellier, Béziers, Thézan, Saint Pons, La Salvetat/Agoût : leclerc   Super u   marché U    place du marché   source paysanne   magasin Cabrol la Salvetat",listeria monocytogenes
Alimentation,Autres,Salmonella spp ,ONO,Du 29/03/2021 au 09/04/2021,INTERMARCHE,ANALYSE BACTÉRIOLOGIQUE NON CONFORME
Bébés-Enfants (hors alimentaire),Jouets,Arrêt respiratoire,BeToys,NA,Voir liste magasins.,Rappel préventif : Risque de détachement de la partie supérieure des quilles pouvant occasionner un étouffement.
Bébés-Enfants (hors alimentaire),Jouets,Arrêt respiratoire,Bayard,NA,le produit a été commercialisé par des libraires et des enseignes de la grande distribution,les coutures d'une des pages du livre cèdent et des parties de rembourrage sont alors accessibles
Alimentation,Viandes,Anomalie d'étiquetage,Excellence,Du 31/03/2021 au 12/04/2021,ALDI,Absence de marquage de la date limite de consommation
Alimentation,Viandes,Anomalie d'étiquetage,L'Etal du Boucher,Du 07/04/2021 au 13/04/2021,Lidl,Marquage de la DLC (Date Limite de Consommation) erronné. La DLC réelle du produit est le 24/04/2021 et non le 24/05/2021 figurant sur l'emballage.
Alimentation,Viandes,Listeria monocytogenes ,Pierre Sajous,Du 23/03/2021 au 02/04/2021,Boutique de l'Atelier Pierre Sajous (65400),Présence de Listéria monocytogenes
Alimentation,Viandes,Listeria monocytogenes ,MARQUE NEUTRE,Du 23/03/2021 au 02/04/2021,"Carrefour Market Lourdes (65100)
Carrefour Market Argeles Gazost (65400)",Présence de Listéria monocytogenes
Alimentation,Autres,Substances allergisantes non déclarées,HOA NAM,Du 01/03/2020 au 13/04/2021,"Grossiste, supermarché spécialisée, traiteur","Présence de l'allergène LAIT, non écrit sur l'étiquetage du produit."
Alimentation,Autres,Substances allergisantes non déclarées,HOA NAM,Du 01/03/2020 au 13/04/2021,"Grossiste, supermarché spécialisé et traiteur",Présence de l'allergène LAIT non mentionné sur l'étiquetage
Bébés-Enfants (hors alimentaire),Articles pour enfants et puériculture,Blessures externes,CHICCO,Du 23/11/2019 au 19/11/2020,"Aubert
Autour de Bébé
Allo Bébé
BB9
Made in Bébé
Vertbaudet
Orchestra 
Made4Baby
Sarl Fille ou Garçon
Baby City
Boulevard des Bébés","Le mécanisme de verrouillage fixant la base et le siège-auto peut ne pas fonctionner correctement, avec un possible risque de détachement du siège-auto de la base et un risque de blessures en cas d'accident ou d'arrêt brutal."
Maison-Habitat,Articles de décoration,Incendie,MAISONS DU MONDE,Du 01/02/2021 au 18/03/2021,L'ensemble des magasins Maisons du Monde ainsi que son site internet https://www.maisonsdumonde.com/,Cet article peut présenter un risque d'incendie en raison d'un problème de mèches traversantes qui entraîne des coulures de la cire
Alimentation,Plats préparés et snacks,Produits phytosanitaires non autorisés Dépassement des limites autorisées de pesticides,d'aucy,Du 06/04/2021 au 11/06/2022,AUCHAN - CARREFOUR - CASINO - E.LECLERC,Présence d'oxyde d'éthylène à une teneur supérieure à la limite maximale autorisée dans le curcuma entrant en quantité très faible dans la composition du produit finis
Alimentation,Céréales et produits de boulangerie,Autres contaminants chimiques,PRINCESSE INDIANA,NA,CARREFOUR,Contaminant : oxyde d'éthylène
"Vêtements, Mode, EPI",Bijouterie,Intoxication,Nature & Découvertes,Du 27/08/2020 au 13/04/2021,Nature & Découvertes,"La tige de ce produit est susceptible de contenir du cadmium en quantité supérieure
à la limite autorisée."
Alimentation,Viandes,Listeria monocytogenes ,Pierre Sajous,Du 07/04/2021 au 16/04/2021,Boutique Pierre Sajous Beaucens 65400 - Enseigne Point Vert,Suspicion non avérée de présence de Listéria monocytogenes suite à une présence détectée dans la matière première de notre fournisseur de viande de Porc Noir de Bigorre
Alimentation,Produits sucrés,Additifs et arômes non autorisés,JELLY BELLY,NA,"Sweets Clermont Ferrand - 31 Rue du 11 Novembre, 63000 Clermont-Ferrand
Sweets La roche sur Yon - 23 Rue Georges Clemenceau, 85000 La Roche-sur-Yon
Sweets Angoulême - 43 Rue Hergé, 16000 Angoulême
Sweets Limoges - 12 Rue Jean Jaurès, 87000 Limoges",Les lots mis en vente pourraient contenir du dioxyde de titane (E171) qui est interdit à la vente en France. Il convient de vérifier sur les paquets la présence ou non de cet additif dans les produits rappelés
Alimentation,Produits sucrés,Additifs et arômes non autorisés,BUBBLICIOUS,NA,"Big Apple Besancon - 20 rue Gustave Courbet - 25000 BESANCON
Big Apple Strasbourg - 5,rue de l'arc en ciel - 67000 STRASBOURG
ROBIN'S Family - 38 bis grande rue 90100 Joncherey
The Candy Shop - 35 Rue Limogeanne - 24000 Perigueux",Le produit contient du dioxyde de titane (E171)
Alimentation,Herbes et épices,Dépassement des limites autorisées de pesticides,CIGALOU,NA,INTERMARCHE,"présence d’oxyde d’éthylène à une teneur supérieure à la limite autorisée, sur un lot de curcuma."
Alimentation,Herbes et épices,Dépassement des limites autorisées de pesticides,CIGALOU,NA,INTERMARCHE,"présence d’oxyde d’éthylène à une teneur supérieure à la limite autorisée, sur un lot de curcuma."
Bébés-Enfants (hors alimentaire),Jouets,Intoxication,SAMBRO,Du 30/09/2019 au 02/04/2021,"Kandy
Wedestock Saint Martin lez tatinghem",Le produit est non conforme et dangereux en raison de la migration de l'élément bore supérieure à la limite normative.
Alimentation,Herbes et épices,Dépassement des limites autorisées de pesticides,NETTO,Du 20/01/2021 au 15/04/2021,NETTO,"présence d’oxyde d’éthylène à une teneur supérieure à la limite autorisée, sur un lot de curcuma."
Alimentation,Céréales et produits de boulangerie,Autres contaminants chimiques Dépassement des limites autorisées de pesticides,SAINT ELOI,Du 22/02/2021 au 14/04/2021,INTERMARCHE,"présence d’oxyde d’éthylène à une teneur supérieure à la limite autorisée, sur un lot de curcuma."
Alimentation,"Cacao, café et thé",Autres contaminants chimiques,Klaus,Du 13/10/2020 au 15/04/2021,"Carrefour Valentin
Intermarché Delle
Casino Shop Besançon Vareilles
Intermarché Gray
Station totale Marchaux
Carrefour market Les Rousses
Divers épicerie / fruitières",Présence du colorant E171
Alimentation,Lait et produits laitiers,Listeria monocytogenes ,GAEC des Lauriers,NA,"Fromages vendus sur les marchés de Roussillon, Vienne et Bourgoin Jallieu, à la ferme et au point de vente collectif La ronde des Fermes à Estrablin.",Détection de Listeria
Alimentation,Fruits et légumes,Norovirus,Thiriet,Du 16/02/2021 au 14/04/2021,Thiriet,Présence possible de norovirus
Hygiène-Beauté,Dispositifs médicaux grand public,Dommages internes,EASEWELL,Du 06/05/2020 au 02/04/2021,Kandy,Le produit est non conforme et dangereux en raison d'une capacité de filtration insuffisante au regard des critères de la catégorie FFP2.
Alimentation,Céréales et produits de boulangerie,Autres contaminants chimiques,La Fourche,Depuis le 19/03/2021,La Fourche,Présence d’oxyde d’éthylène à une teneur supérieure à la limite maximale autorisée.
Alimentation,Autres,Résidus de médicaments vétérinaires,ARTISLACH,Du 01/03/2021 au 15/04/2021,BELASIE - 30 RUE DE LA DONELIERE 35000 RENNES,Possibilité de présence de tétracyclines dans les produits
Autres,Divers,Blessures externes,MB,Du 17/07/2020 au 11/01/2021,"CARREFOUR
CARREFOUR MARKET",Ce produit présente un risque de brûlure.
Alimentation,Herbes et épices,Dépassement des limites autorisées de pesticides,CIGALOU,Du 21/12/2020 au 15/04/2021,INTERMARCHE,"présence d’oxyde d’éthylène à une teneur supérieure à la limite autorisée, sur un lot de curcuma."
Alimentation,Herbes et épices,Dépassement des limites autorisées de pesticides,TRS,Du 15/12/2020 au 09/04/2021,"ASIE TIEN HUNG
MEKONG MARKET SARL
ASIA MARKET MARMANDE
ASIA STORE ANTIBES",Non-conformité pesticide : La teneur en pesticides (oxyde d’éthylène) présente dans le produit est supérieure à la norme
Alimentation,"Cacao, café et thé",Additifs et arômes dépassement des seuils de sécurité Présence de substance interdite,Dom Duarte,Du 02/03/2021 au 06/04/2021,Silva alimentation,Plantes dangereuses pour la santé
"Appareils électriques, Outils","Appareils électriques, électroménager",Blessures externes,ACOVA,Du 01/01/2021 au 31/03/2021,Cf fichier joint,Mauvaise qualité de soudure sur une charnière. Risque de chute du sèche-serviette si la charnière du haut est concernée.
Alimentation,Viandes,Autres contaminants chimiques,FERIAL,Du 20/03/2021 au 19/04/2021,Enseigne E Leclerc,présence éventuelle d'oxyde d'éthylène inférieure à la réglementation européenne en vigueur sur le produit
Hygiène-Beauté,Cosmétiques,Intoxication,W7,NA,Magasins SAGA COSMETICS,Présence de traces de baryum
Alimentation,Céréales et produits de boulangerie,Autres contaminants biologiques,CARREFOUR,Du 09/02/2021 au 19/04/2021,Carrefour,Présence d'aflatoxines B1
Alimentation,Lait et produits laitiers,Listeria monocytogenes ,sans marque,Du 06/04/2021 au 19/04/2021,Points de vente Beillevaire - Enseignes Heure du Marché - crèmerie,Suspicion de Listeria monocytogenes
Alimentation,Autres,"Inertes (verre, métal, plastique, papier, textile…)",LAFITTE,Du 08/12/2020 au 13/04/2021,"Boutiques Lafitte - Points de ventes : Coté Frais, Les Bonheurs de la Table, UPO, Les Jardins du Mesnil, Galeries Gourmandes, Eval Trading",Présence de noyau dans le pruneau au cœur du Foie Gras de Canard
Alimentation,"Cacao, café et thé",Présence de substance interdite,DOM DUARTE,Du 05/01/2021 au 16/04/2021,"Auchan, Carrefour, Cora, Franprix, Intermarché, Leclerc, Monoprix, U et Panier du Monde.","Interdiction de la vente par la Commission Européenne de certaines plantes à dérivés hydroxyanthracéniques comme le séné, principal ingrédient du produit."
Alimentation,"Soupes, sauces et condiments","Inertes (verre, métal, plastique, papier, textile…)",VITAM,Du 29/01/2021 au 22/02/2021,Pur Aliment,"Le fabricant VITAM nous a informé qu’un éclat de verre a été retrouvé dans le lot mentionné.
La consommation est, donc, impropre et ne répond pas aux normes en vigueur. Par conséquent, nous rappelons les lots concernés au niveau de la vente au détail"
Bébés-Enfants (hors alimentaire),Jouets,Intoxication,LASERPEGS,Du 30/10/2019 au 01/04/2021,MAXXILOT,jouet non conforme et dangereux suite au test du marteau d'impact le compartiment du boitier à piles s'ouvre à seulement 0.5 joule.
Alimentation,Céréales et produits de boulangerie,Dépassement des limites autorisées de pesticides,ST URSIN,NA,SYSTEME U OUEST,présence d'oxyde d'éthylène supérieure à la limite dans le curry
