categorie_de_produit,sous_categorie_de_produit,risques_encourus_par_le_consommateur,nom_de_la_marque_du_produit,date_debut_fin_de_commercialisation,distributeurs,motif_du_rappel
Alimentation,Lait et produits laitiers,Listeria,WALCHLI,Du 30/03/2021 au 10/04/2021,INTERMARCHE DE LANDEVANT,CONTAMINATION LISTERIA MONOCYTOGENES
Alimentation,Produits de la pêche et d'aquaculture,Listeria,Le pêcheur Créole,Du 19/04/2021 au 28/04/2021,"Carrefour
Leader Price
Run market
Carrefour market
Enseignes U
Leclerc",Détection de présence de listeria
Alimentation,Produits de la pêche et d'aquaculture,Listeria,Le pêcheur Créole,Du 04/04/2021 au 28/04/2021,"Leader price 
Run market
Intermark
Boutique rmr",Détection de listeria
Alimentation,Produits de la pêche et d'aquaculture,Listeria,Le pêcheur Créole,Du 22/04/2021 au 28/04/2021,"Leader price
Runmarket
Carrefour
Boutique Rmr
Intermark",Détection de listeria
Alimentation,Produits de la pêche et d'aquaculture,Listeria,Le pêcheur Créole,Du 23/04/2021 au 28/04/2021,"Carrefour
Run Market
Carrefour Market
Leclerc 
Boutique Rmr
Leader Price
Intermark
Terra Coop
Label Tranche",Détection de listeria
Alimentation,Produits de la pêche et d'aquaculture,Listeria,Le pêcheur Créole,Du 23/04/2021 au 28/04/2021,"Carrefour
Run market
Simply
Leclerc
Leader price
Terra coop
Kaz lagon
Label tranche",Détection de listéria
Alimentation,Produits de la pêche et d'aquaculture,Listeria,Le pêcheur Créole,Du 23/04/2021 au 28/04/2021,"Carrefour
Run market
Simply
Leclerc
Terra coop
Label tranche
Kaz lagon
Intermark",Détection de listeria
Alimentation,Produits de la pêche et d'aquaculture,Listeria,Le pêcheur Créole,Du 23/04/2021 au 28/04/2021,"carrefour
Leader price
Run market
Carrefour market
Simply
Leclerc
Intermark
Simply
Terra coop",Détection de listéria
Alimentation,Produits de la pêche et d'aquaculture,Listeria,Le pêcheur Créole,Du 19/04/2021 au 28/04/2021,"Carrefour
Simply
Kaz lagon
Ti coin frais
Super U",Détection de listéria
Alimentation,Produits de la pêche et d'aquaculture,Listeria,Le fumoir du poissonnier,Du 16/04/2021 au 28/04/2021,Grand Frais,Détection de listeria
Alimentation,Viandes,Listeria,LENAJA,Du 27/04/2021 au 29/04/2021,"METRO
PROMOCASH
POMONA FRAIS",Analyse microbiologique non conforme : Présence de contamination par Listeria Monocytogenes
Alimentation,Lait et produits laitiers,Listeria,En Cuisine,Du 29/03/2021 au 29/04/2021,"Carrefour, Magasin Promocash",Suspicion Listeria monocytogees
Alimentation,Lait et produits laitiers,Listeria,En Cuisine,Du 24/03/2021 au 29/04/2021,"Carrefour, magasins Promocash",Suspicion de Listeria monocytogenes
Alimentation,Produits de la pêche et d'aquaculture,Listeria,Le pêcheur Créole,Du 12/04/2021 au 28/04/2021,"Carrefour
Run market
Intermak 
U
Leader price
leclerc
terra coop
Label tranche",Détection de listéria
Alimentation,Viandes,Listeria,JECA,Du 20/04/2021 au 28/04/2021,"Carrefour, Leclerc, Intermarché, Cora, Auchan, U",Présence de Listeria dans 1 échantillon sur 5 analysés.
Alimentation,Plats préparés et snacks,Listeria,sans marque,Du 28/04/2021 au 28/04/2021,CARREFOUR Sartrouville UNIQUEMENT,listéria monocytogenes
Alimentation,Viandes,Salmonella,CDV VILLEPINTE,Du 26/04/2021 au 26/04/2021,Novoviande Grand Frais Villepinte,Présence de Salmonelle
Alimentation,Lait et produits laitiers,Listeria,Casa Azzurra,Du 10/03/2021 au 29/04/2021,Leclerc / Promocash et autres fournisseurs de la restauration hors foyer.,Suspicion de Listeria monocytogenes
Alimentation,Lait et produits laitiers,Salmonella,la ferme de saint pancrace,Du 29/03/2021 au 26/04/2021,Ets janier -,présence de salmonelle
Alimentation,Viandes,Listeria,ALJADID PROFESSIONNEL,Du 15/04/2021 au 20/04/2021,DISTRIBUTEUR,Mise en évidence de la présence de Listeria Monocytogenes
Alimentation,Lait et produits laitiers,Listeria,Casa Azzurra,Du 09/03/2021 au 29/04/2021,Leclerc / Promocash et autres fournisseurs de la restauration hors foyer.,Suspicion de Listeria monocytogenes
Alimentation,Viandes,Listeria,CGF CHARCUTERIE,Du 15/04/2021 au 21/04/2021,SUPERMARCHES MATCH A ARRAS (62),Présence de Listéria <10
Alimentation,Viandes,Salmonella,'Sans Marque',Du 27/04/2021 au 01/05/2021,Leclerc,Présence de Samonelles
Alimentation,Viandes,Listeria,sans marque (vendu au rayon stand avec service),Du 17/04/2021 au 28/04/2021,magasin cora à Bruay-la-Buissière,Présence de listeria
Alimentation,Lait et produits laitiers,Listeria,Ferme les Avoineries,Du 05/05/2021 au 10/05/2021,"ATAC La Clayette, LOCAVOR MACON, SAS DE L'HERBE AU LAIT, CROQU SAISON",Détection Listeria
Alimentation,Viandes,Listeria,Laboratoire des Terroirs Gascons,Du 29/04/2021 au 11/05/2021,"Le Cellier de France 
8 Avenue Montaigne
31830 PLAISANCE DU TOUCH",Présence de Listeria
Alimentation,Viandes,Salmonella,TRADITION ET TERROIR DU SUD OUEST,Du 28/04/2021 au 28/05/2021,AUCHAN CARREFOUR CASINO INTERMARCHE LECLERC SYSTEME U,Salmonelle
Alimentation,Lait et produits laitiers,Listeria,FERME DE CLOUGERES,Du 30/04/2021 au 07/05/2021,"Super U Montluel, Boucherie Poulard à Fontaine sur Saone, Tradisteak à Reyrieux, Ferme de Collonge à Genay et Ferme de Clougères à Marlieux",Présence de listéria monocytogenes
Alimentation,Viandes,Salmonella,saucisson jesus rosette,Du 19/01/2021 au 10/04/2021,charcuterie tararienne-Boucherie St Philibert-Boucherie des sables-Epicerie Mirvine-Boulangerie Gilardon-Boucherie Janet- Epicerie Mazard-Boucherie Viallon-Boucherie Pelletier,prévention sanitaire suspicion salmonelloses
Alimentation,Lait et produits laitiers,Listeria,CHEVRIGNY - CHEVRIER DES CRAYS,Du 04/05/2021 au 10/05/2021,"CARREFOUR France
GRAND FRAIS France
INTERMARCHE Bourgogne Franche Comté
METRO Chalon sur Saône
METRO Dijon
HYPER U, SUPER U Bourgogne Rhône Alpes Alsace",retrait pour raison sanitaire
Alimentation,Viandes,Salmonella,Sans marque (vendu au rayon frais emballé),Du 24/04/2021 au 06/05/2021,Hypermarché Leclerc Pau université,Détection de Salmonelle
Alimentation,Lait et produits laitiers,Salmonella,juglaret jean michel,Du 17/04/2021 au 07/05/2021,"vente directe et revendeurs
a la ferme ,savoie fromage,sica du replat,intermarché bourg st maurice, super u bourg st maurice",présence possible de salmonelle
Alimentation,Viandes,Salmonella,CAMPO TIERRA,Du 15/04/2021 au 12/05/2021,Carrefour,présence de salmonelles.
Alimentation,Lait et produits laitiers,Listeria,EARL DE VILLIERS,Du 21/03/2021 au 20/05/2021,"Carrefour Contact et Express
Lerclerc 
Super U et U express 
Panier sympa 
Netto 
GIE Berry Touraine
SCPL Rungis 
Epiceries, boucheries, fromagers de l'Indre
Proxi Services et Super
Vival
Maison des fromages
Spar",présence de Listeria monocytogenes
Alimentation,Viandes,Listeria,Kerméné,Du 08/05/2021 au 12/05/2021,Centre E.LECLERC Perlandis,Présence de listéria monocytogènes
Alimentation,Viandes,Salmonella,GAEC de la Combe du Val / Sardélices,Du 11/05/2021 au 01/06/2021,Point de Vente Collectif de producteurs fermiers  Brin de Paille,Présence confirmée de bactérie du genre Salmonella dans un échantillon de Paupiette de veau du lot de fabrication.
Alimentation,Lait et produits laitiers,Listeria,Ferme de la Heurtaudière,Du 14/05/2021 au 18/05/2021,"Intermarché, Carrefour Market, Leclerc",Lystéria
Alimentation,Lait et produits laitiers,Listeria,Ferme de la Heurtaudière,NA,"E.Leclerc, Intermarché, Carrefour Market",Lystéria
Alimentation,Lait et produits laitiers,Listeria,Ferme de la Heurtaudière,NA,"E. Leclerc, Intermarché",Lystéria
Alimentation,Plats préparés et snacks,Listeria,Sans marque,NA,"AUCHAN, LECLERC, SYSTEME U",Suspicion présence Listéria monocytogenes
Alimentation,Plats préparés et snacks,Listeria,Maison Sapresti,NA,"LECLERC, SYSTEME U, La Petite Affaire, Charlie's market",Suspicion présence Listéria monocytogenes
Alimentation,Viandes,Listeria,La Abuela Amélia,Du 08/05/2021 au 28/05/2021,E.Leclerc Les Coteaux SADIS,Présence de Listéria Monocytogenes
Alimentation,Viandes,Salmonella,SELECTION DU MONDE,Du 20/05/2021 au 31/05/2021,Carrefour,Détection de salmonelle
Alimentation,Lait et produits laitiers,Listeria,FERME DE LA VIEILLE RUE,Du 19/05/2021 au 22/05/2021,Cf: liste revendeurs,Présence de listeria <10
Alimentation,Produits de la pêche et d'aquaculture,Listeria,Pierre Neau,Du 18/05/2021 au 01/06/2021,"La Marée
Ets Neau (boutique d'atelier)",Présence listéria monocytogenes possible
Alimentation,Viandes,Listeria,Comte de Bellou,Du 12/05/2021 au 28/05/2021,"Carrefour, Casino, Market, Coccinelle, Intermarché, Leclerc, Super U",Présence de Listeria monocytogenes
Alimentation,Viandes,Salmonella,Charcuterie Herrmann,Du 26/05/2021 au 31/05/2021,"Soprolux
Boucherie Charcuterie Traiteur Herrmann",Présence potentielle de Salmonelle
Alimentation,Viandes,Listeria,/,Du 26/05/2021 au 02/06/2021,Auchan Noyelles Godault,présence de Listeria monocytogenes
Alimentation,Autres,Listeria,Rillettes de canard,Du 25/05/2021 au 29/05/2021,LECLERC LE BLANC,Détection et dénombrement de Listeria monocytogenes ( < 10/g )
Alimentation,Viandes,Listeria,/,Du 28/05/2021 au 03/06/2021,Auchan Aulnoye Aymeries,présence de Listeria monocytogenes
Alimentation,Viandes,Salmonella,Sans marque,Du 26/05/2021 au 07/06/2021,Biocoop - So bio - On a la vie - Marcey & Fils,Présence potentielle de Salmonelle
Alimentation,Viandes,Salmonella,Biocoop,Jusqu'au 08/06/2021,Biocoop,Détection de salmonelle.
Alimentation,Lait et produits laitiers,Listeria,Cahills,Du 01/06/2021 au 08/06/2021,"Entreprise du groupe France Frais : Team Ouest Distralis, Aumand Dis Frais, Lodifrais, Team Ouest Normandie, Guilmot Gaudais, Ouest Frais Distribution.",présence Listeria
Alimentation,Viandes,Salmonella,sans marque,Du 04/06/2021 au 04/06/2021,Boucherie Aurélien Flers,présence de Salmonelle
Alimentation,Viandes,Salmonella,gast,NA,"AUCHAN 
CARREFOUR
CASINO
SUPER U",SUSPICION DE PRÉSENCE DE SALMONELLE
Alimentation,Viandes,Salmonella,GAST,Du 04/05/2021 au 04/06/2021,VESSIERE,suspicion de présence de salmonelle
Alimentation,Viandes,Salmonella,GAST,Du 04/05/2021 au 10/06/2021,"CARREFOUR
SPAR
EPICEIRE",suspicion de présence de salmonelle
Alimentation,Viandes,Salmonella,GAST,Du 04/05/2021 au 10/06/2021,"CARREFOUR
EPICERIE
BOUCHERIE",suspicion de présence de salmonelle
Alimentation,Viandes,Salmonella,GAST,Du 06/05/2021 au 19/05/2021,CARREFOUR,suspicion de présence de salmonelle
Alimentation,Viandes,Salmonella,GAST,Du 05/05/2021 au 10/06/2021,"BOUCHERIE
EPICERIE",suspicion de présence de salmonelle
Alimentation,Viandes,Salmonella,GAST,Du 05/05/2021 au 10/06/2021,CHARCUTERIE SIBILIA,suspicion de présence de salmonelle
Alimentation,Viandes,Salmonella,GAST,Du 05/05/2021 au 10/06/2021,"EPICERIES
BOUCHERIES",suspicion de présence de salmonelle
Alimentation,Viandes,Salmonella,GAST,Du 04/05/2021 au 10/06/2021,BOUCHERIE,suspicion de présence de salmonelle
Alimentation,Viandes,Salmonella,GAST,Du 06/05/2021 au 10/06/2021,"CARREFOUR
CASINO
BOUCHERIE
EPICERIE",suspicion de présence de salmonelle
Alimentation,Viandes,Salmonella,GAST,Du 06/05/2021 au 10/06/2021,BOUCHERIE,suspicion de présence de salmonelle
Alimentation,Viandes,Salmonella,GAST,Du 05/05/2021 au 10/06/2021,"SODIVAR
PROXI",suspicion de présence de salmonelle
Alimentation,Viandes,Salmonella,GAST,Du 04/05/2021 au 10/06/2021,SUPERETTE CHAMPIEROISE,suspicion de présence de salmonelle
Alimentation,Viandes,Salmonella,GAST,Du 06/05/2021 au 10/06/2021,BOUCHERIE,suspicion de présence de salmonelle
Alimentation,Viandes,Salmonella,GAST,Du 05/05/2021 au 10/06/2021,"CARREFOUR
CASINO
BOUCHERIE
EPICERIE",suspicion de présence de salmonelle
Alimentation,Viandes,Salmonella,GAST,Du 05/05/2021 au 10/06/2021,CHARCUTERIE SIBILIA,suspicion de présence de salmonelle
Alimentation,Viandes,Salmonella,GAST,Du 05/05/2021 au 10/06/2021,CHARCUTERIE SIBILIA,suspicion de présence de salmonelle
Alimentation,Viandes,Salmonella,GAST,Du 05/05/2021 au 10/06/2021,"CARREFOUR
CASINO
AUCHAN",suspicion de présence de salmonelle
Alimentation,Viandes,Salmonella,GAST,Du 05/05/2021 au 10/06/2021,"BOUCHERIE
EPICERIE",suspicion de présence de salmonelle
Alimentation,Viandes,Salmonella,GAST,Du 21/05/2021 au 10/06/2021,"carrefour
casino
super U
auchan
leclerc
intermarché",suspicion de présence de salmonelle
Alimentation,Viandes,Salmonella,GAST,Du 04/05/2021 au 10/06/2021,"CARREFOUR
CASINO
BOUCHERIE",suspicion de présence de salmonelle
Alimentation,Viandes,Salmonella,GAST,Du 04/05/2021 au 10/06/2021,"CASINO
SPAR
EPICERIE
BOUCHERIE",suspicion de présence de salmonelle
Alimentation,Viandes,Salmonella,GAST,Du 05/05/2021 au 10/06/2021,"EPICERIE
CASINO",suspicion de présence de salmonelle
Alimentation,Viandes,Salmonella,GAST,Du 12/05/2021 au 10/06/2021,CHARCUTERIE SIBILIA,suspicion de présence de salmonelle
Alimentation,Viandes,Salmonella,GAST,Du 25/05/2021 au 10/06/2021,"carrefour
casino
super U
EPICERIE
leclerc",suspicion de présence de salmonelle
Alimentation,Viandes,Salmonella,GAST,Du 05/05/2021 au 10/06/2021,"EPICERIE
CHARCUTERIE",suspicion de présence de salmonelle
Alimentation,Viandes,Salmonella,GAST,Du 04/05/2021 au 10/06/2021,"CHARCUTERIE
EPICERIES",suspicion de présence de salmonelle
Alimentation,Viandes,Salmonella,GAST,Du 26/05/2021 au 10/06/2021,"CASINO
LECLERC
EPICERIES",suspicion de présence de salmonelle
Alimentation,Viandes,Salmonella,GAST,Du 03/05/2021 au 10/06/2021,"CASINO
EPICERIE
BOUCHERIE",suspicion de présence de salmonelle
Alimentation,Viandes,Salmonella,GAST,Du 04/05/2021 au 10/06/2021,CHARCUTERIE,suspicion de présence de salmonelle
Alimentation,Viandes,Salmonella,GAST,Du 04/05/2021 au 10/06/2021,CHARCUTERIE,suspicion de présence de salmonelle
Alimentation,Viandes,Salmonella,GAST,Du 21/05/2021 au 08/06/2021,CHARCUTERIE SIBILIA,suspicion de présence de salmonelle
Alimentation,Viandes,Salmonella,GAST,Du 05/05/2021 au 10/06/2021,CHAZAL,suspicion de présence de salmonelle
Alimentation,Viandes,Salmonella,GAST,Du 31/05/2021 au 11/06/2021,CHAZAL,suspicion de présence de salmonelle
Alimentation,Viandes,Salmonella,GAST,Du 05/05/2021 au 10/06/2021,DAVID MASTER,suspicion de présence de salmonelle
Alimentation,Viandes,Listeria,ECO+,Du 27/05/2021 au 14/06/2021,E.LECLERC,Risque de présence de Listeria monocytogenes dans le produit.
Alimentation,Lait et produits laitiers,Listeria,Ferme de la Heurtaudière,NA,"Leclerc, intermarché",Lystéria Monocytogène
Alimentation,Viandes,Listeria,LE PERE CHAMPAIN,Du 05/06/2021 au 10/06/2021,Intermarché Château-Renault,Détection de Listeria lors d'un auto-contrôle
Alimentation,Plats préparés et snacks,Listeria,SANS MARQUE,Du 05/06/2021 au 03/07/2021,"Client livré
 - SAVEURS D ANTOINE -MARCHE-GARCIN
 - COOP SERVICES
- SAVEURS D ANTOINE-HLD
 - LACROIX  SAS
- DROMADIS
- DIPSA
- LKB  STAINS",risque de présence de Listeria monocytogenes.
Alimentation,Viandes,Listeria,Rustadou,Du 04/06/2021 au 15/06/2021,METRO France,Risque de présence de Listeria monocytogenes
Alimentation,Lait et produits laitiers,Listeria,SANS MARQUE,Du 03/06/2021 au 11/06/2021,"GMS
COMMERCE DE GROS
COMMERCE SEDENTAIRE/NON SEDENTAIRE",Présence de listéria de listéria monocytogenes dans la matière première
Alimentation,Viandes,Listeria,Carrefour Le marché,Du 17/06/2021 au 18/06/2021,Carrefour,Présence de Listeria
Alimentation,Produits de la pêche et d'aquaculture,Listeria,Carrefour Le marché,Du 14/06/2021 au 21/06/2021,Carrefour,Présence de Listeria
Alimentation,Produits de la pêche et d'aquaculture,Listeria,SANS MARQUE,Du 14/06/2021 au 21/06/2021,Carrefour,Présence de Listeria
Alimentation,Viandes,Salmonella,MONTAGNE NOIRE,Du 15/06/2021 au 18/06/2021,Intermarché,Présence de salmonelle sur 1 analyses interne.
Alimentation,Viandes,Listeria,La ferme des Clauzolles,Du 12/04/2021 au 18/06/2021,"uniquement sur les marchés, voir liste en pièce jointe","Présence de listéria inférieur à 10, aw égale 0.933"
Alimentation,Viandes,Salmonella,INTERMARCHE,Du 01/06/2021 au 04/06/2021,INTERMARCHE MORHANGE,"Analyse non conforme, présence de salmonella"
Alimentation,Viandes,Salmonella,fabrication maison,Du 10/06/2021 au 15/06/2021,intermarche de Martel,présence de salmonelle
Alimentation,Plats préparés et snacks,Listeria,Naturalia,Du 08/06/2021 au 23/06/2021,Naturalia,Mise en évidence de la présence de Listeria monocytogenes
Alimentation,Viandes,Salmonella,FABRICATION MAISON,Du 08/06/2021 au 12/06/2021,EURL YASAR,Presence salmonelle
Alimentation,Viandes,Listeria,sans marque,Du 17/05/2021 au 20/05/2021,u express,Présence de Listeria
Alimentation,Viandes,Listeria,sans marque,Du 17/05/2021 au 20/05/2021,u express,Présence de Listeria
Alimentation,Produits de la pêche et d'aquaculture,Listeria,SANS MARQUE,Du 14/06/2021 au 24/06/2021,GROSSISTES,Présence de Listeria monocytogenès
Alimentation,Viandes,Salmonella,Le Fleuron,Du 24/06/2021 au 26/06/2021,"Carrefour, Leader Price, Leclerc, Intermark, Run market, U",Présence de salmonelles
Alimentation,Viandes,Salmonella,Neutre,Du 25/06/2021 au 28/06/2021,Voir fichier de traçabilité,Détection salmonelle
Alimentation,Plats préparés et snacks,Salmonella,Collection d'Asie AGIS,Du 29/06/2021 au 01/07/2021,"Intermarché, Leclerc, Marnière Plaisir, Jardinerie Chevreuse",Suspicion de présence de salmonelle
Alimentation,Produits de la pêche et d'aquaculture,Listeria,PAVE DE SAUMON,Du 22/06/2021 au 22/06/2021,LECLERC BLAGNAC,Présence de Listéria
Alimentation,Viandes,Listeria,Sarl Henri Domont,Du 18/06/2021 au 30/06/2021,"ITM Ailly-sur-Noye
ITM Péronne
ITM Amiens sud
ITM Abbeville",Présence de listéria monocytogenes
Alimentation,Viandes,Listeria,Sarl Henri Domont,NA,"Leclerc Salouël 
ITM Abbeville 
Super U Biache",Présence de Listeria monocytogenes
Alimentation,Viandes,Salmonella,Salaisons de Saint Sauveur,Du 28/06/2021 au 05/07/2021,"Intermarché, Leclerc, Système U, Carrefour, Netto",Présence de Salmonelles
Alimentation,Viandes,Salmonella,Pédelhez,Du 30/06/2021 au 06/07/2021,"Auchan, Carrefour, magasins en direct, grossistes",Suspicion de présence de Salmonelle
Alimentation,Lait et produits laitiers,Listeria,Grand Antonin,Du 08/06/2021 au 03/07/2021,INTERMARCHE BALMA,Présence de listeria monocytogenes (410/g) suite à autocontrôle
Alimentation,Viandes,Listeria,Jambon vendu en tranche au rayon traditionnel-charcuterie,Du 02/06/2021 au 07/07/2021,"M Mercier, Passion salaison, Artisan du choix, Intermarché, La Sobreda 2 Nantes, Carrefour market, Auchan, Super U Bonny, JCC Viandes, Yvas, Cora, SARL Ordirest, Negotours, Dispere, Ilgo, Boucherie de sologne, SAVEUR D ANTOINE, SCAOUEST, Leclerc",Présence de Listeria monocytogenes
Alimentation,Viandes,Salmonella,Schinkenhof,Du 24/06/2021 au 05/07/2021,"SOPROLUX, RUNGIEST, HERRMANN SA",Présence de salmonelle
Alimentation,Lait et produits laitiers,Listeria,Franprix,Du 09/06/2021 au 07/07/2021,"Franprix, Marché d'à côté, Nano boutique",Présence de Listeria monocytogenes <10 UFC/g
Alimentation,Autres,Listeria,Schweitzer,Du 26/06/2021 au 02/07/2021,SUPER U WOLFISHEIM,Présence de listeria <10
Alimentation,Produits de la pêche et d'aquaculture,Listeria,LECLERC TRELISSAC,Du 23/06/2021 au 24/06/2021,E.LECLERC TRELISSAC,Présence de Listéria Monocytogènes
Alimentation,Lait et produits laitiers,Listeria,NUOVA CASTELLI,Du 16/06/2021 au 26/06/2021,INTERMARCHE APPRIEU,Présence de listéria monocytogenes
Alimentation,Viandes,Salmonella,LA ALEGRIA,Du 30/04/2021 au 06/07/2021,U Express - Intermarché - Indépendants,Traces de Salmonelles
Alimentation,Viandes,Salmonella,LEADER PRICE,NA,Leader Price et réseaux de distribution de Leader Price.,Détection de salmonelle.
Alimentation,Plats préparés et snacks,Listeria,CASINO,Du 18/06/2021 au 09/07/2021,"Géant Casino, les enseignes Casino, Vival, Spar et réseaux de distribution de Casino",Présence de Listeria monocytogenes < 10 UFC/g
Alimentation,Lait et produits laitiers,Listeria,E.Graindorge,Du 20/05/2021 au 06/07/2021,Leclerc-Carrefour,détection Listeria monocytogenes <10 UFC/g.
Alimentation,Lait et produits laitiers,Listeria,E.Graindorge,Du 21/05/2021 au 11/07/2021,Leclerc-Cora-Systeme U-Schiever- Casino,détection Listeria monocytogenes <10 UFC/g.
Alimentation,Lait et produits laitiers,Listeria,Normanville,Du 20/05/2021 au 11/07/2021,Leclerc-Cora-Systeme U-Casino,détection Listeria monocytogenes <10 UFC/g.
Alimentation,Viandes,Listeria,sans marque,Du 02/07/2021 au 05/07/2021,u express,Présence de Listeria
Alimentation,Viandes,Listeria,sans marque,Du 02/07/2021 au 05/07/2021,u express,Présence de Listeria
Alimentation,Viandes,Salmonella,LA ALEGRIA,Du 21/05/2021 au 13/07/2021,Boucheries - Restauration - Restauration d'entreprise,Détection de Salmonelles dans un produit étiqueté  à consommer en l'état  au lieu de  à consommer cuit .
Alimentation,Produits de la pêche et d'aquaculture,Listeria,SANS MARQUE,Du 21/05/2021 au 05/07/2021,INTERMARCHE,Présence Listeria monocytogenes à DLC supérieur au seuil règlementaire.
Alimentation,Viandes,Salmonella,LA ALEGRIA RIOJANA S.A,Du 23/04/2021 au 29/04/2021,Cf pièce jointe liste des points de vente,Detection Salmonelle
Alimentation,Viandes,Salmonella,CAMPO TIERRA,Du 15/04/2021 au 12/05/2021,"Vente dans quelques magasins (Cora, Leclerc, Intermarché, Super U, Casino) : cf. 14 points de vente dans la liste ci-jointe.",présence de salmonelles.
